epoch	metric	loss	iter	time	train_time	validation_time	epoch_time
132	0.8555	0.3886	26928	1.74 hr	32.43s	13.99s	46.44s
133	0.8542	0.3416	27132	1.76 hr	32.44s	14.00s	46.46s
134	0.8591	0.3512	27336	1.77 hr	32.58s	13.99s	46.59s
135	0.8268	0.3335	27540	1.78 hr	32.50s	13.98s	46.50s
136	0.8409	0.3860	27744	1.80 hr	32.68s	13.97s	46.68s
137	0.8537	0.3981	27948	1.81 hr	32.70s	14.00s	46.72s
138	0.8595	0.3361	28152	1.82 hr	32.63s	13.99s	46.63s
139	0.8564	0.3467	28356	1.84 hr	32.51s	13.99s	46.53s
140	0.8576	0.3174	28560	1.85 hr	32.67s	14.00s	46.68s
141	0.8613	0.3239	28764	1.86 hr	32.65s	13.99s	46.66s
142	0.8602	0.3127	28968	1.88 hr	32.70s	13.98s	46.70s
143	0.8426	0.3110	29172	1.89 hr	32.70s	13.98s	46.69s
144	0.8585	0.3194	29376	1.90 hr	32.40s	13.95s	46.38s
145	0.8587	0.3494	29580	1.91 hr	32.60s	13.97s	46.60s
146	0.8610	0.3251	29784	1.93 hr	32.60s	13.99s	46.60s
147	0.8617	0.3042	29988	1.94 hr	32.62s	14.00s	46.64s
148	0.8627	0.3035	30192	1.95 hr	32.75s	13.99s	46.76s
149	0.8598	0.3068	30396	1.97 hr	32.51s	14.00s	46.53s
150	0.8615	0.3499	30600	1.98 hr	32.47s	14.01s	46.49s
151	0.8632	0.3077	30804	1.99 hr	32.60s	13.99s	46.61s
152	0.8625	0.3028	31008	2.01 hr	32.74s	13.97s	46.73s
153	0.8623	0.3326	31212	2.02 hr	32.48s	13.99s	46.49s
154	0.8599	0.3164	31416	2.03 hr	32.70s	14.00s	46.72s
155	0.8590	0.3146	31620	2.05 hr	32.62s	13.99s	46.63s
156	0.8235	0.3498	31824	2.06 hr	32.50s	13.98s	46.50s
157	0.8616	0.3208	32028	2.07 hr	32.56s	14.00s	46.59s
158	0.8639	0.3072	32232	2.08 hr	32.66s	14.00s	46.68s
159	0.8655	0.3022	32436	2.10 hr	32.59s	13.98s	46.59s
160	0.8655	0.2986	32640	2.11 hr	32.52s	13.95s	46.48s
161	0.8650	0.2979	32844	2.12 hr	32.63s	13.98s	46.63s
162	0.8652	0.3375	33048	2.14 hr	32.67s	13.97s	46.66s
163	0.8584	0.3058	33252	2.15 hr	32.48s	13.99s	46.49s
164	0.8633	0.3128	33456	2.16 hr	32.43s	13.96s	46.41s
165	0.8650	0.2934	33660	2.18 hr	32.81s	14.00s	46.83s
166	0.8664	0.2942	33864	2.19 hr	32.42s	14.02s	46.46s
167	0.8656	0.2925	34068	2.20 hr	32.47s	13.97s	46.46s
168	0.8662	0.2990	34272	2.21 hr	32.85s	13.99s	46.86s
169	0.8653	0.2919	34476	2.23 hr	32.47s	14.00s	46.49s
170	0.8668	0.2943	34680	2.24 hr	32.42s	13.97s	46.41s
171	0.8671	0.3062	34884	2.25 hr	32.66s	13.98s	46.67s
172	0.8664	0.3100	35088	2.27 hr	32.40s	13.98s	46.40s
173	0.8662	0.2957	35292	2.28 hr	32.80s	13.99s	46.80s
174	0.8675	0.2956	35496	2.29 hr	32.56s	13.99s	46.57s
175	0.8675	0.2871	35700	2.31 hr	32.72s	13.97s	46.71s
176	0.8599	0.3118	35904	2.32 hr	32.83s	13.99s	46.85s
177	0.8655	0.3144	36108	2.33 hr	32.54s	14.00s	46.55s
178	0.8672	0.3079	36312	2.35 hr	32.68s	13.98s	46.69s
179	0.8680	0.3004	36516	2.36 hr	32.56s	13.99s	46.57s
180	0.8668	0.3017	36720	2.37 hr	32.57s	14.00s	46.59s
181	0.8670	0.2975	36924	2.38 hr	32.49s	13.97s	46.48s
182	0.8677	0.2898	37128	2.40 hr	32.86s	13.99s	46.86s
183	0.8665	0.3010	37332	2.41 hr	32.53s	13.99s	46.54s
184	0.8673	0.2862	37536	2.42 hr	32.46s	13.98s	46.45s
185	0.8655	0.3182	37740	2.44 hr	32.55s	13.99s	46.57s
